City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,itoman,26.1247,127.6694,72.37,68,20,3.44,JP,1697659310
322,oboyan',51.2098,36.2792,43.3,61,100,11.03,RU,1697659310
323,yuzhno-kurilsk,44.0306,145.8556,57.38,58,99,13.91,RU,1697659310
324,chikwawa,-16.0335,34.8009,76.44,80,43,6.31,MW,1697659311
325,hilo,19.7297,-155.09,83.25,77,27,1.99,US,1697659311
326,novodvinsk,64.4165,40.8122,38.79,78,100,10.71,RU,1697659311
327,cluses,46.0625,6.575,58.91,79,100,4.52,FR,1697659311
328,sola,-13.8833,167.55,77.9,80,88,12.26,VU,1697659311
329,northam,51.0333,-4.2167,59.67,96,100,18.97,GB,1697659311
330,murghob,38.1702,73.9667,32.47,51,81,1.5,TJ,1697659311
331,myskhako,44.6714,37.7433,54.59,60,100,8.57,RU,1697659311
332,queenstown,-31.8976,26.8753,60.22,75,100,5.68,ZA,1697659217
333,sarandi del yi,-33.35,-55.6333,64.08,56,18,12.06,UY,1697659312
334,sao joao de pirabas,-0.7747,-47.1772,81.88,76,20,10.02,BR,1697659312
335,lihue,21.9789,-159.3672,81.73,70,11,8.75,US,1697659312
336,katsuura,35.1333,140.3,67.87,70,21,12.86,JP,1697659312
337,luchegorsk,46.4764,134.2569,39.92,92,67,5.37,RU,1697659312
338,aoulef,26.9667,1.0833,86.43,16,11,9.71,DZ,1697659312
339,tocopilla,-22.092,-70.1979,70.7,64,21,12.48,CL,1697659312
340,yaren,-0.5472,166.916,81.14,77,100,12.55,NR,1697659313
341,port saint john's,-31.6229,29.5448,66.79,79,17,8.32,ZA,1697659313
342,malpica,43.3228,-8.8105,64.22,73,52,18.88,ES,1697659313
343,dzerzhinskoye,56.8344,95.2283,43.75,96,30,4.32,RU,1697659313
344,misratah,32.3754,15.0925,80.62,45,25,9.31,LY,1697659313
345,revelstoke,50.9832,-118.2023,44.62,100,100,2.3,CA,1697659313
346,punta alta,-38.8759,-62.0736,73.08,31,73,8.66,AR,1697659313
347,kangding,30.0513,101.9603,48.36,90,87,2.28,CN,1697659313
348,ikedacho,34.0167,133.8,55.83,89,90,4.81,JP,1697659314
349,salinas,36.6777,-121.6555,95.99,42,0,14.97,US,1697659145
350,tanjung pandan,-2.75,107.65,77.59,88,98,3.31,ID,1697659314
351,mata-utu,-13.2816,-176.1745,80.69,79,100,24.47,WF,1697659314
352,howard springs,-12.497,131.047,76.91,79,27,2.37,AU,1697659314
353,anshun,26.25,105.9333,58.87,95,58,2.55,CN,1697659300
354,taro,-8.3862,115.28,71.6,92,99,0.67,ID,1697659314
355,barra do corda,-5.5,-45.25,100.83,16,28,4.94,BR,1697659314
356,les avirons,-21.2418,55.3394,73.49,88,75,4.61,RE,1697659314
357,la'ie,21.6477,-157.9253,84.16,68,2,7.0,US,1697659315
358,penzance,50.1186,-5.5371,57.88,92,80,14.94,GB,1697659299
359,cidreira,-30.1811,-50.2056,63.14,73,100,10.74,BR,1697659307
360,chivhu,-19.0211,30.8922,58.53,86,2,10.65,ZW,1697659315
361,santa catalina,9.3337,122.8637,77.83,87,100,2.71,PH,1697659315
362,al mindak,20.1588,41.2834,69.4,61,6,1.5,SA,1697659315
